Medium,Transport Type,Vehicle Type,Drive,Scenario,Frequency
road,passenger,2w,bev,Reference,Yearly
road,passenger,2w,ice_d,Reference,Yearly
road,passenger,2w,ice_g,Reference,Yearly
air,passenger,all,air_av_gas,Reference,Yearly
air,passenger,all,air_diesel,Reference,Yearly
air,passenger,all,air_fuel_oil,Reference,Yearly
air,passenger,all,air_gasoline,Reference,Yearly
air,passenger,all,air_jet_fuel,Reference,Yearly
air,passenger,all,air_kerosene,Reference,Yearly
air,passenger,all,air_lpg,Reference,Yearly
rail,passenger,all,rail_coal,Reference,Yearly
road,passenger,bus,bev,Reference,Yearly
road,passenger,bus,cng,Reference,Yearly
road,passenger,bus,fcev,Reference,Yearly
road,passenger,bus,ice_d,Reference,Yearly
road,passenger,bus,ice_g,Reference,Yearly
road,passenger,bus,lpg,Reference,Yearly
road,passenger,bus,phev_d,Reference,Yearly
road,passenger,bus,phev_g,Reference,Yearly
road,passenger,car,bev,Reference,Yearly
road,passenger,car,cng,Reference,Yearly
road,passenger,car,fcev,Reference,Yearly
road,passenger,car,ice_d,Reference,Yearly
road,passenger,car,ice_g,Reference,Yearly
road,passenger,car,lpg,Reference,Yearly
road,passenger,car,phev_d,Reference,Yearly
road,passenger,car,phev_g,Reference,Yearly
road,passenger,lt,bev,Reference,Yearly
road,passenger,lt,cng,Reference,Yearly
road,passenger,lt,fcev,Reference,Yearly
road,passenger,lt,ice_d,Reference,Yearly
road,passenger,lt,ice_g,Reference,Yearly
road,passenger,lt,lpg,Reference,Yearly
road,passenger,lt,phev_d,Reference,Yearly
road,passenger,lt,phev_g,Reference,Yearly
road,passenger,suv,bev,Reference,Yearly
road,passenger,suv,cng,Reference,Yearly
road,passenger,suv,fcev,Reference,Yearly
road,passenger,suv,ice_d,Reference,Yearly
road,passenger,suv,ice_g,Reference,Yearly
road,passenger,suv,lpg,Reference,Yearly
road,passenger,suv,phev_d,Reference,Yearly
road,passenger,suv,phev_g,Reference,Yearly
rail,passenger,all,rail_diesel,Reference,Yearly
rail,passenger,all,rail_electricity,Reference,Yearly
rail,passenger,all,rail_fuel_oil,Reference,Yearly
rail,passenger,all,rail_gasoline,Reference,Yearly
rail,passenger,all,rail_kerosene,Reference,Yearly
rail,passenger,all,rail_lpg,Reference,Yearly
ship,passenger,all,ship_ammonia,Reference,Yearly
ship,passenger,all,ship_diesel,Reference,Yearly
ship,passenger,all,ship_fuel_oil,Reference,Yearly
ship,passenger,all,ship_gasoline,Reference,Yearly
ship,passenger,all,ship_kerosene,Reference,Yearly
ship,passenger,all,ship_lpg,Reference,Yearly
air,freight,all,air_av_gas,Reference,Yearly
air,freight,all,air_diesel,Reference,Yearly
air,freight,all,air_fuel_oil,Reference,Yearly
air,freight,all,air_gasoline,Reference,Yearly
air,freight,all,air_jet_fuel,Reference,Yearly
air,freight,all,air_kerosene,Reference,Yearly
air,freight,all,air_lpg,Reference,Yearly
rail,freight,all,rail_coal,Reference,Yearly
road,freight,ht,bev,Reference,Yearly
road,freight,ht,cng,Reference,Yearly
road,freight,ht,fcev,Reference,Yearly
road,freight,ht,ice_d,Reference,Yearly
road,freight,ht,ice_g,Reference,Yearly
road,freight,ht,lpg,Reference,Yearly
road,freight,ht,phev_d,Reference,Yearly
road,freight,ht,phev_g,Reference,Yearly
road,freight,lcv,bev,Reference,Yearly
road,freight,lcv,cng,Reference,Yearly
road,freight,lcv,fcev,Reference,Yearly
road,freight,lcv,ice_d,Reference,Yearly
road,freight,lcv,ice_g,Reference,Yearly
road,freight,lcv,lpg,Reference,Yearly
road,freight,lcv,phev_d,Reference,Yearly
road,freight,lcv,phev_g,Reference,Yearly
road,freight,mt,bev,Reference,Yearly
road,freight,mt,cng,Reference,Yearly
road,freight,mt,fcev,Reference,Yearly
road,freight,mt,ice_d,Reference,Yearly
